location_name,latitude,longitude,grocery,restaurant,unreliable
Washington Park,41.887299,-87.929649,0,0,0
Jimmy John's,41.795021,-87.588287,0,1,0
Hyatt Place,41.800152,-87.588707,0,0,0
Dunkin',41.799824,-87.590958,0,1,0
Tonya's Hair Salon,41.807301,-87.620514,0,0,0
Hyde Park Art Center,41.803391,-87.586792,0,0,0
TriYoga Chicago Hyde Park,41.801662,-87.586601,0,0,0
Subway,41.799938,-87.591652,0,1,0
Shinju Sushi,41.799274,-87.592163,0,1,0
Accent American,41.802593,-87.595322,0,0,0
Philz Coffee,41.799351,-87.590652,0,1,0
Edible Arrangements,41.802284,-87.589317,0,0,0
KMG Portrait Studio,41.809322,-87.592468,0,0,0
Lots For Less,41.801785,-87.617981,0,0,0
Cornell Park,41.795868,-87.585014,0,0,0
Walmart,41.808994,-87.607147,0,0,0
Krispy Krunchy Chicken,41.801334,-87.58799,0,1,0
Ellis Avenue Church,41.803944,-87.601219,0,0,0
Pearle Vision,41.799999,-87.59642,0,0,0
Red Snapper Fish Chicken And Grill,41.799919,-87.591187,0,1,0
Bechtold Library,41.797749,-87.586021,0,0,0
LA Fitness,41.800262,-87.587807,0,0,0
Giordano's,41.799122,-87.590195,0,1,0
One Stop Enterprises,41.794891,-87.623634,0,0,0
BP,41.801334,-87.58812,0,0,0
Jolly Pumpkin Pizzeria and Brewery,41.800526,-87.588875,0,0,0
Churchill Klehr Photography,41.797886,-87.592148,0,0,0
Jimmy's Famous Burgers,41.80262,-87.607216,0,1,0
53rd Street Mini Mart,41.799274,-87.592018,0,0,0
Subway,41.802685,-87.607231,0,1,0
Cornell Shoe Service,41.799389,-87.586212,0,0,0
Whole Foods Market,41.801903,-87.588493,1,0,0
Dearborn Denim,41.799778,-87.588844,0,0,0
Liberty Baptist Church,41.80603,-87.615814,0,0,0
Boost Mobile,41.801838,-87.621948,0,0,0
Ingleside Foods,41.80159,-87.602539,1,0,0
Hyde Park Property Management,41.798779,-87.592476,0,0,0
Annas Restaurant,41.802197,-87.621635,0,1,0
Chicago Fire Department District 5 Station 60,41.795391,-87.597694,0,0,0
Hyde Park Cigars,41.800266,-87.589355,0,0,0
McDonald's,41.800858,-87.588043,0,1,0
Orangetheory Fitness,41.80209,-87.588982,0,0,0
Jones Auto Center,41.801716,-87.624771,0,0,0
Five Guys,41.799706,-87.589607,0,1,0
Corpus Christi Church,41.805199,-87.617302,0,0,0
Holy Trinity Missionary Baptist Church 2,41.796001,-87.617958,0,0,0
Foreign Car Hospital,41.797184,-87.595192,0,0,0
Hiro Sushi & Desserts Bar,41.799255,-87.589645,0,1,0
Greater Bethesda Missionary Baptist Church,41.797955,-87.622063,0,0,0
Urban Development,41.803333,-87.612129,0,0,0
Walgreens,41.795532,-87.588104,0,0,0
Hyde Park Liquor,41.802204,-87.621338,0,0,0
Progressive Community Center of the Peoples Church,41.807667,-87.624023,0,0,0
Harold Washington Cultural Center,41.809109,-87.615768,0,0,0
Eto'o Modern Asian Cuisine,41.799274,-87.592239,0,1,0
Village Eyecare Hyde Park,41.795029,-87.585823,0,0,0
Office Depot,41.79763,-87.58773,0,0,0
Modern Cooperative,41.799786,-87.588844,0,0,0
53rd & Lake Park News,41.799187,-87.587563,0,0,0
Pizza Capri,41.799374,-87.588898,0,1,0
Chipotle Mexican Grill,41.799778,-87.587791,0,1,0
Leonas Restaurant,41.800018,-87.595222,0,1,0
Christian Tabernacle Church,41.808933,-87.620064,0,0,0
Shark's Fish,41.802567,-87.607216,0,1,0
Hair Dare You,41.794956,-87.590752,0,0,0
Babas Famous Philly Steak & Lemonade,41.802189,-87.621254,0,0,0
I Can Breathe,41.79641,-87.583519,0,0,0
Sweethead Naturals Chicago,41.797867,-87.590225,0,0,0
BP,41.802811,-87.586739,0,0,0
Ronald McDonald House Charities,41.795532,-87.604202,0,0,0
Cb Communications,41.808567,-87.594856,0,0,0
BP,41.80901,-87.623268,0,0,0
ULTA Beauty,41.800117,-87.587753,0,0,0
East View Park Condominiums,41.797215,-87.582993,0,0,0
Farmer's Fridge,41.802418,-87.612244,0,1,0
The Church of Jesus Christ of Latter day Saints,41.800522,-87.598595,0,0,0
Boston Market,41.799686,-87.59063,0,1,0
Church of the Shepherd,41.801231,-87.591545,0,0,0
Arifa's Kitchen,41.799847,-87.592911,0,0,0
Hoods Barber Shop,41.801895,-87.617241,0,0,0
Walgreens,41.80294,-87.607124,0,0,0
GNC (General Nutrition Centers),41.799431,-87.588341,0,0,0
Virtue Restaurant,41.799709,-87.589333,0,1,0
Baskin Robbins,41.799767,-87.590958,0,1,0
Joyce's Events & Party Planning,41.800858,-87.585617,0,0,0
Dmitri's Handyman Services,41.795921,-87.584267,0,0,0
Bossa Tres,41.79744,-87.588531,0,0,0
Akira,41.799324,-87.58757,0,0,0
Bonjour Cafe Bakery,41.795418,-87.588097,0,1,0
Potbelly Sandwich Works,41.797157,-87.588272,0,1,0
Big Rob Hauling,41.806396,-87.608002,0,0,0
A S S IS T Basketball,41.805264,-87.62027,0,0,0
Dylans Car Wash,41.795403,-87.623589,0,0,0
Saint John Church Baptist,41.806698,-87.622314,0,0,0
Verizon Wireless,41.799343,-87.587921,0,0,0
Mellow Yellow,41.799767,-87.588646,0,1,0
Cultural Communications LLC,41.809395,-87.595932,0,0,0
King Jj Fish & Chicken,41.80172,-87.623833,0,1,0
Brazil Construction,41.808777,-87.60585,,,1
Fort Marketing,41.803898,-87.592201,,,1
Contreras & Sons Heating & Air Conditioning,41.806328,-87.6129,,,1
Thomas & Associates Insurance,41.806461,-87.586403,,,1
Hyde Park JCC,41.800896,-87.58506,,,1
Louisiana Fried Chicken,41.801838,-87.618721,,,1
Threading & Waxing Salon,41.799873,-87.584579,,,1
Red Fish Bleu Fish,41.801678,-87.588799,,,1
Harold Washington Park,41.801357,-87.583443,,,1
Kb Consulting Services,41.807281,-87.60746,,,1
Hyde Park Arms Hotel,41.798962,-87.589493,,,1
Butternut Playlot Park,41.798492,-87.596931,,,1
Walton's Urban Retreat,41.806618,-87.586678,,,1
Gregg Tutorial,41.799335,-87.588181,,,1
Diva Dance,41.799351,-87.588737,,,1
Cecile Keith Brown LMT CMLDT,41.799286,-87.588181,,,1
Drawers Intimate Toys,41.801193,-87.589943,,,1
Lee Kimberly & Co,41.799435,-87.587975,,,1
Phli,41.800495,-87.58931,,,1
Money Game Production,41.807095,-87.620804,,,1
South Chicago Heights Park,41.483067,-87.648834,,,1
Nella Pizza e Pasta,41.794861,-87.598549,,,1
United Loan,41.802288,-87.62001,,,1
Kiddie Kuts,41.800137,-87.596443,,,1
Jam's Grandmas Tutu,41.801304,-87.585251,,,1
La Quinta by Wyndham Chicago Lake Shore,41.805992,-87.585991,,,1
JCC Chicago Apachi Hyde Park,41.80088,-87.58503,,,1
Metro PCS Authorized Dealer,41.801704,-87.622246,,,1
The Budlong Hot Chicken,41.79932,-87.594856,,,1
Facility Services Group,41.803207,-87.585258,,,1
Michaels Stores,41.802181,-87.588058,,,1
Jeffery Dollar Store,41.7994,-87.59008,,,1
Roti Mediterranean Grill,41.79977,-87.587952,,,1
Chicago Center For Urban Life and Culture,41.801193,-87.589958,,,1
Rainbow Cleaners,41.799732,-87.584656,,,1
